theta,dist
51.66, 01797.00
52.36, 01801.00
53.06, 01810.00
53.77, 01838.00
54.47, 01848.00
55.05, 01862.00
55.88, 01874.00
56.58, 01877.00
57.28, 01897.00
57.86, 01911.00
58.56, 01934.00
59.39, 01948.00
59.97, 01953.00
60.55, 02369.00
61.38, 02018.00
62.08, 02031.00
62.78, 02059.00
63.50, 02073.00
64.22, 02096.00
64.94, 02126.00
65.66, 02143.00
66.38, 02166.00
67.08, 02180.00
67.80, 02216.00
68.52, 02234.00
69.23, 02263.00
69.95, 02288.00
70.55, 02310.00
71.25, 02345.00
72.09, 02371.00
72.69, 02404.00
73.41, 02450.00
74.12, 02467.00
74.84, 02507.00
75.56, 02543.00
76.27, 02582.00
76.98, 02617.00
77.70, 02657.00
78.42, 02679.00
79.14, 02746.00
79.86, 02780.00
80.56, 02843.00
81.28, 02875.00
82.00, 02938.00
82.59, 02996.00
83.31, 03054.00
84.75, 03116.00
85.45, 03178.00
85.88, 00000.00
86.16, 03256.00
86.88, 03339.00
87.58, 03385.00
88.30, 03316.00
89.00, 03632.00
89.70, 03701.00
90.42, 03774.00
91.00, 03900.00
91.72, 04003.00
92.42, 04144.00
93.12, 04243.00
93.84, 04416.00
94.55, 04541.00
95.27, 04676.00
95.97, 04816.00
96.67, 05008.00
97.39, 05178.00
98.09, 05383.00
98.81, 05610.00
99.52, 05857.00
100.09, 06052.00
100.81, 06470.00
101.52, 06718.00
102.23, 07103.00
102.94, 07472.00
103.64, 07976.00
106.75, 00000.00
107.47, 00000.00
108.19, 00000.00
108.61, 08297.00
108.91, 00000.00
109.33, 08760.00
109.64, 00000.00
110.36, 00000.00
112.52, 00000.00
113.23, 00000.00
113.95, 00000.00
114.30, 08437.00
114.67, 00000.00
115.00, 08540.00
115.39, 00000.00
115.72, 08297.00
116.11, 00000.00
119.00, 00000.00
119.72, 00000.00
120.44, 00000.00
120.69, 08512.00
121.16, 00000.00
121.39, 08478.00
121.88, 00000.00
122.59, 00000.00
124.75, 00000.00
125.47, 00000.00
125.66, 08232.00
126.19, 00000.00
126.36, 07646.00
126.91, 00000.00
127.64, 00000.00
127.78, 06662.00
128.62, 05105.00
129.80, 00000.00
129.92, 05640.00
130.75, 05413.00
131.48, 04991.00
131.95, 00000.00
132.91, 04701.00
133.62, 04581.00
134.34, 04431.00
134.83, 00000.00
135.05, 04170.00
135.77, 04081.00
136.48, 03919.00
137.33, 03798.00
138.05, 03685.00
138.77, 03597.00
139.47, 03479.00
140.31, 02744.00
140.91, 03249.00
141.62, 03171.00
142.34, 03095.00
143.06, 03012.00
143.78, 02950.00
145.20, 02857.00
146.05, 02774.00
146.77, 02741.00
147.08, 00000.00
147.48, 02678.00
148.20, 02627.00
148.91, 02587.00
149.62, 02544.00
150.34, 02478.00
151.91, 02350.00
152.62, 02325.00
153.22, 02280.00
153.55, 00000.00
154.06, 02254.00
154.80, 02211.00
155.52, 02192.00
156.25, 02150.00
156.97, 02116.00
157.70, 02112.00
159.16, 02050.00
159.88, 02027.00
160.61, 02002.00
160.75, 00000.00
161.33, 01988.00
162.19, 01952.00
162.91, 01929.00
163.52, 01905.00
164.36, 01895.00
165.09, 01865.00
165.83, 01850.00
166.55, 01828.00
167.28, 01820.00
168.00, 01791.00
168.75, 01789.00
169.45, 01766.00
170.19, 01747.00
170.91, 01736.00
171.64, 01715.00
172.36, 01699.00
173.22, 01687.00
173.81, 01677.00
174.67, 01663.00
175.27, 01652.00
176.00, 01639.00
176.73, 01631.00
177.44, 01622.00
178.27, 01606.00
178.98, 01594.00
179.69, 01584.00
180.39, 01577.00
181.11, 01567.00
181.81, 01556.00
182.53, 01548.00
183.23, 01542.00
183.94, 01533.00
184.66, 01520.00
185.36, 01516.00
186.06, 01508.00
186.78, 01503.00
187.48, 01494.00
188.33, 01485.00
188.91, 01488.00
189.61, 01476.00
190.45, 01466.00
191.03, 01464.00
191.73, 01499.00
192.45, 01594.00
193.03, 01692.00
193.75, 01789.00
194.45, 01910.00
195.03, 02028.00
195.75, 02173.00
196.45, 02335.00
197.03, 02515.00
197.75, 02717.00
198.33, 02992.00
199.05, 03306.00
199.77, 03701.00
200.39, 04230.00
201.11, 04899.00
203.17, 08977.00
203.91, 12132.00
204.67, 00000.00
205.39, 00000.00
207.55, 00000.00
208.28, 00000.00
209.00, 00000.00
209.72, 00000.00
210.44, 00000.00
211.16, 00000.00
211.88, 00000.00
212.59, 00000.00
213.31, 00000.00
214.03, 00000.00
214.75, 00000.00
215.47, 00000.00
216.19, 00000.00
216.91, 00000.00
217.64, 00000.00
218.36, 00000.00
218.53, 09062.00
219.08, 00000.00
219.25, 08789.00
219.80, 00000.00
220.52, 00000.00
222.67, 00000.00
223.39, 00000.00
224.11, 00000.00
224.83, 00000.00
225.55, 00000.00
225.80, 06035.00
226.28, 00000.00
226.64, 05735.00
227.00, 00000.00
227.36, 05580.00
227.72, 00000.00
228.09, 05405.00
228.81, 05288.00
229.53, 05125.00
230.27, 04965.00
